"id","artist","title","score","file","output"
"251","The Weeknd","Blinding Lights","34","The Weeknd - Blinding Lights.mp3","srb_251_blinding_lights_20s.mp3"
"252","Ed Sheeran","Shape Of You","32","Ed Sheeran - Shape of You.flac","srb_252_shape_of_you_20s.mp3"
"253","Dua Lipa","Levitating","31","Dua Lipa - Levitating.mp3","srb_253_levitating_20s.mp3"
"254","Olivia Rodrigo","Drivers License","34","06 - Drivers License - Olivia Rodrigo.mp3","srb_254_drivers_license_20s.mp3"
"255","Billie Eilish","Bad Guy","34","Billie Eilish - bad guy.flac","srb_255_bad_guy_20s.mp3"
"256","Justin Bieber","Sorry","31","Justin Bieber - Sorry.flac","srb_256_sorry_20s.mp3"
"257","Tones and I","Dance Monkey","34","Tones And I - Dance Monkey.mp4","srb_257_dance_monkey_20s.mp3"
"258","Lewis Capaldi","Someone You Loved","37","07 - Someone You Loved - Lewis Capaldi.mp3","srb_258_someone_you_loved_20s.mp3"
"259","Miley Cyrus","Flowers","31","Miley Cyrus - Flowers.m4a","srb_259_flowers_20s.mp3"
"260","Harry Styles","As It Was","31","Harry Styles - As It Was.mp4","srb_260_as_it_was_20s.mp3"
"261","Dua Lipa","Dont Start Now","20","Dua Lipa - Don't Start Now.mp4","srb_261_dont_start_now_20s.mp3"
"262","Katy Perry","Roar","31","Katy Perry - Roar.flac","srb_262_roar_20s.mp3"
"263","Adele","Rolling In The Deep","23","Last Call - Rolling In The Deep.mp3","srb_263_rolling_in_the_deep_20s.mp3"
"264","Adele","Someone Like You","12","Adele - Skyfall.flac",""
"265","Sia","Cheap Thrills","32","Sia - Cheap Thrills.flac","srb_265_cheap_thrills_20s.mp3"
"266","Shakira","Waka Waka","32","Shakira - Waka Waka.mp4","srb_266_waka_waka_20s.mp3"
"267","Luis Fonsi","Despacito","31","Luis Fonsi feat. Daddy Yankee - Despacito.mp4","srb_267_despacito_20s.mp3"
"268","J Balvin","Mi Gente","29","J Balvin, Willy William - Mi Gente.mp4","srb_268_mi_gente_20s.mp3"
"269","Maluma","Hawai","17","Andy Williams - Hawaiian Wedding Song.mp3","srb_269_hawai_20s.mp3"
"270","Farruko","Pepas","29","Farruko - Pepas (Dj Soltrix).m4a","srb_270_pepas_20s.mp3"
"271","Don Omar","Danza Kuduro","34","Don Omar - Danza Kuduro.flac","srb_271_danza_kuduro_20s.mp3"
"272","Daddy Yankee","Con Calma","34","Daddy Yankee - Con Calma.flac","srb_272_con_calma_20s.mp3"
"273","Lil Nas X","Montero","14","Lil Nas X - STAR WALKIN'.m4a",""
"274","Post Malone","Rockstar","31","Post Malone - Rockstar.mp4","srb_274_rockstar_20s.mp3"
"275","Drake","Gods Plan","12","Romeo Santos & Drake - Odio.mp3",""
"276","Lil Nas X","Industry Baby","14","Lil Nas X - STAR WALKIN'.m4a",""
"277","Halsey","Without Me","17","Eminem - Without Me (Emolw Remix).m4a","srb_277_without_me_20s.mp3"
"278","Shawn Mendes","Stitches","14","Shawn Mendes - Theres Nothing Holdin Me Back.m4a",""
"279","Imagine Dragons","Believer","31","Imagine Dragons - Believer.m4a","srb_279_believer_20s.mp3"
"280","Imagine Dragons","Thunder","31","Imagine Dragons - Thunder.m4a","srb_280_thunder_20s.mp3"
"281","Imagine Dragons","Radioactive","17","The Firm - Radioactive.mp3","srb_281_radioactive_20s.mp3"
"282","Hozier","Take Me To Church","32","Hozier - Take Me to Church.flac","srb_282_take_me_to_church_20s.mp3"
"283","RagnBone Man","Human","19","Timbalive - Timba Pa' La Humanidad.mp4","srb_283_human_20s.mp3"
"284","Rihanna","We Found Love","32","Rihanna Feat. Calvin Harris - We Found Love.mp4","srb_284_we_found_love_20s.mp3"
"285","Rihanna","Diamonds","29","Rihanna - Diamonds.mp4","srb_285_diamonds_20s.mp3"
"286","Carly Rae Jepsen","Call Me Maybe","3","Calle Real - Hoah!.m4a",""
"287","Annalisa","Sinceramente","17","Piso 21 - SINCERAMENTE.mp3","srb_287_sinceramente_20s.mp3"
"288","Mahmood","Tuta Gold","12","Mahmood - RA TA TA.mp3",""
"289","Angelina Mango","La Noia","17","Vasco Rossi - La noia.mp3","srb_289_la_noia_20s.mp3"
"290","Francesco Gabbani","Occidentalis Karma","3","Romai - Karma (Video Oficial) [prod. By Blessed Music & Ly Bass, Mr. Rey] #cubaton #repartocubano (1080p_24fps_H264-128kbit_Aac).mp4",""
"291","Mahmood","Soldi","17","Defected Records - OFFAIAH - Soldier (Club Mix).m4a","srb_291_soldi_20s.mp3"
"292","Marco Mengoni","Due Vite","3","Issac Delgado Feat. Victor Manuelle - La Mujer Que Mas Te Duele.m4a",""
"293","Colapesce Dimartino","Musica Leggerissima","20","Propaganda - Fabri Fibra, Colapesce, Dimartino.m4a","srb_293_musica_leggerissima_20s.mp3"
"294","Mr Rain","Supereroi","2","Brainy Gonzalez - Te Quiero.mp3",""
"295","Lazza","Cenere","29","Lazza - Cenere.mp4","srb_295_cenere_20s.mp3"
"296","Annalisa","Mon Amour","32","mon amour - annalisa - bachata.mp3","srb_296_mon_amour_20s.mp3"
"297","The Kolors","Italodisco","14","The Kolors - KARMA.m4a",""
"298","Mahmood e Blanco","Brividi","17","Rossana Casale - Brividi.flac","srb_298_brividi_20s.mp3"
"299","Sabrina Carpenter","Espresso","31","Sabrina Carpenter - Espresso.flac","srb_299_espresso_20s.mp3"
"300","Tate McRae","Greedy","14","Tate Mcrae - Sports Car.mp4",""
