id,artist,title,official_source,status
264,Adele,Someone Like You,Apple Music,found_in_search
269,Maluma,Hawai,Apple Music,found_in_search
273,Lil Nas X,Montero,Apple Music,found_in_search
275,Drake,Gods Plan,Apple Music,found_in_search
276,Lil Nas X,Industry Baby,Apple Music,found_in_search
277,Halsey,Without Me,Apple Music,found_in_search
278,Shawn Mendes,Stitches,Apple Music,found_in_search
281,Imagine Dragons,Radioactive,Apple Music,found_in_search
283,Rag'n'Bone Man,Human,Apple Music,found_in_search
286,Carly Rae Jepsen,Call Me Maybe,Apple Music,found_in_search
287,Annalisa,Sinceramente,Apple Music,found_in_search
288,Mahmood,Tuta Gold,Apple Music,found_in_search
289,Angelina Mango,La Noia,Apple Music,found_in_search
290,Francesco Gabbani,Occidentalis Karma,Apple Music,found_in_search
291,Mahmood,Soldi,Apple Music,found_in_search
292,Marco Mengoni,Due Vite,Apple Music,found_in_search
293,Colapesce Dimartino,Musica Leggerissima,Apple Music,found_in_search
294,Mr Rain,Supereroi,Apple Music,found_in_search
297,The Kolors,Italodisco,Apple Music,found_in_search
298,Mahmood e Blanco,Brividi,Apple Music,found_in_search
300,Tate McRae,Greedy,Apple Music,found_in_search
